Regional Economy,Statistic,Value,Footnote,Year,Unit of Measurement,Sustainable Development Goal,ADB Country Code
"Micronesia, Federated States of",Gross Domestic Investment,6.2,*,2021,% of GDP,,FSM
Mongolia,Gross Domestic Investment,35.2,,2021,% of GDP,,MON
Myanmar,Gross Domestic Investment,23.3,,2021,% of GDP,,MYA
Nauru,Gross Domestic Investment, … ,,2021,% of GDP,,NAU
Nepal,Gross Domestic Investment,31.4,*,2021,% of GDP,,NEP
Niue,Gross Domestic Investment, … ,,2021,% of GDP,,NIU
Pakistan,Gross Domestic Investment,14.9,,2020,% of GDP,,PAK
Palau,Gross Domestic Investment,30.4,,2019,% of GDP,,PAL
Papua New Guinea,Gross Domestic Investment, … ,,2021,% of GDP,,PNG
Philippines,Gross Domestic Investment,21.6,,2021,% of GDP,,PHI
Samoa,Gross Domestic Investment, … ,,2021,% of GDP,,SAM
Singapore,Gross Domestic Investment,24.4,,2021,% of GDP,,SIN
Solomon Islands,Gross Domestic Investment,18.3,,2021,% of GDP,,SOL
Sri Lanka,Gross Domestic Investment,26.5,*,2021,% of GDP,,SRI
"Taipei,China",Gross Domestic Investment,26.8,,2021,% of GDP,,TAP
Tajikistan,Gross Domestic Investment,19,,2018,% of GDP,,TAJ
Thailand,Gross Domestic Investment,29.1,,2021,% of GDP,,THA
Timor-Leste,Gross Domestic Investment,15.1,,2021,% of GDP,,TIM
Tonga,Gross Domestic Investment,24.2,*,2021,% of GDP,,TON
Turkmenistan,Gross Domestic Investment,49.6,,2017,% of GDP,,TKM
Tuvalu,Gross Domestic Investment, … ,,2021,% of GDP,,TUV
Uzbekistan,Gross Domestic Investment,40.2,,2020,% of GDP,,UZB
Vanuatu,Gross Domestic Investment,23.8,*,2021,% of GDP,,VAN
Viet Nam,Gross Domestic Investment,32.4,,2020,% of GDP,,VIE
Afghanistan,Gross International Reserves,"9,763",,2020,$ million,,AFG
Armenia,Gross International Reserves,"3,215",,2021,$ million,,ARM
Azerbaijan,Gross International Reserves,"7,074",,2021,$ million,,AZE
Bangladesh,Gross International Reserves,"46,391",,2021,$ million,,BAN
Bhutan,Gross International Reserves,"1,491",,2020,$ million,,BHU
Brunei Darussalam,Gross International Reserves,"4,557",,2021,$ million,,BRU
Cambodia,Gross International Reserves,"20,265",,2021,$ million,,CAM
"China, People's Republic of",Gross International Reserves,"3,356,529",,2020,$ million,,PRC
Cook Islands,Gross International Reserves, … ,,2021,$ million,,COO
Fiji,Gross International Reserves,"1,476",,2021,$ million,,FIJ
Georgia,Gross International Reserves,"4,200",,2021,$ million,,GEO
"Hong Kong, China",Gross International Reserves,"496,867",,2021,$ million,,HKG
India,Gross International Reserves,"629,947",,2021,$ million,,IND
Indonesia,Gross International Reserves,"144,905",,2021,$ million,,INO
Kazakhstan,Gross International Reserves,"34,378",,2021,$ million,,KAZ
Kiribati,Gross International Reserves, … ,,2021,$ million,,KIR
"Korea, Republic of",Gross International Reserves,"463,118",,2021,$ million,,KOR
Kyrgyz Republic,Gross International Reserves,"2,978",,2021,$ million,,KGZ
Lao People's Democratic Republic,Gross International Reserves,"1,263",,2021,$ million,,LAO
Malaysia,Gross International Reserves,"117,489",,2021,$ million,,MAL
Maldives,Gross International Reserves,791,,2021,$ million,,MLD
Marshall Islands,Gross International Reserves, … ,,2021,$ million,,RMI
"Micronesia, Federated States of",Gross International Reserves, … ,,2021,$ million,,FSM
Mongolia,Gross International Reserves,"4,366",,2021,$ million,,MON
Myanmar,Gross International Reserves,"8,528",,2021,$ million,,MYA
Nauru,Gross International Reserves, … ,,2021,$ million,,NAU
Nepal,Gross International Reserves,"11,753",,2021,$ million,,NEP
Niue,Gross International Reserves, … ,,2021,$ million,,NIU
Pakistan,Gross International Reserves,"17,299",,2021,$ million,,PAK
Palau,Gross International Reserves, … ,,2021,$ million,,PAL
Papua New Guinea,Gross International Reserves,"2,560",,2021,$ million,,PNG
Philippines,Gross International Reserves,"108,794",,2021,$ million,,PHI
Samoa,Gross International Reserves,282,,2021,$ million,,SAM
Singapore,Gross International Reserves,"417,904",,2021,$ million,,SIN
Solomon Islands,Gross International Reserves,694,,2021,$ million,,SOL
Sri Lanka,Gross International Reserves,"3,139",,2021,$ million,,SRI
"Taipei,China",Gross International Reserves,"548,408",,2021,$ million,,TAP
Tajikistan,Gross International Reserves,"1,385",,2019,$ million,,TAJ
Thailand,Gross International Reserves,"256,812",,2021,$ million,,THA
Timor-Leste,Gross International Reserves,"19,647",,2020,$ million,,TIM
Tonga,Gross International Reserves,314,,2021,$ million,,TON
Turkmenistan,Gross International Reserves,"32,400",,2014,$ million,,TKM
Tuvalu,Gross International Reserves,91,,2021,$ million,,TUV
Uzbekistan,Gross International Reserves,"34,500",,2021,$ million,,UZB
Vanuatu,Gross International Reserves,643,,2021,$ million,,VAN
Viet Nam,Gross International Reserves,"109,439",,2021,$ million,,VIE
Afghanistan,Growth Rate of Merchandise Exports,–10.1,,2020,%,,AFG
Armenia,Growth Rate of Merchandise Exports,10.5,,2021,%,,ARM
Azerbaijan,Growth Rate of Merchandise Exports,80.1,,2021,%,,AZE
Bangladesh,Growth Rate of Merchandise Exports,15.4,,2021,%,,BAN
Bhutan,Growth Rate of Merchandise Exports,30,,2021,%,,BHU
Brunei Darussalam,Growth Rate of Merchandise Exports,61.6,,2021,%,,BRU
Cambodia,Growth Rate of Merchandise Exports,5.1,,2021,%,,CAM
"China, People's Republic of",Growth Rate of Merchandise Exports,29,,2021,%,,PRC
Cook Islands,Growth Rate of Merchandise Exports,110.6,,2020,%,,COO
Fiji,Growth Rate of Merchandise Exports,4.7,,2021,%,,FIJ
Georgia,Growth Rate of Merchandise Exports,25.2,,2021,%,,GEO
"Hong Kong, China",Growth Rate of Merchandise Exports,24.6,,2021,%,,HKG
India,Growth Rate of Merchandise Exports,42.5,,2021,%,,IND
Indonesia,Growth Rate of Merchandise Exports,42.5,,2021,%,,INO
Kazakhstan,Growth Rate of Merchandise Exports,27.2,,2021,%,,KAZ
Kiribati,Growth Rate of Merchandise Exports,39.9,,2021,%,,KIR
"Korea, Republic of",Growth Rate of Merchandise Exports,25.5,,2021,%,,KOR
Kyrgyz Republic,Growth Rate of Merchandise Exports,15.9,,2021,%,,KGZ
Lao People's Democratic Republic,Growth Rate of Merchandise Exports,20.6,,2021,%,,LAO
Malaysia,Growth Rate of Merchandise Exports,27.5,,2021,%,,MAL
Maldives,Growth Rate of Merchandise Exports,12.4,,2021,%,,MLD
Marshall Islands,Growth Rate of Merchandise Exports,3.6,,2020,%,,RMI
"Micronesia, Federated States of",Growth Rate of Merchandise Exports,1.4,,2021,%,,FSM
Mongolia,Growth Rate of Merchandise Exports,18,,2021,%,,MON
Myanmar,Growth Rate of Merchandise Exports,–13.0,,2021,%,,MYA
Nauru,Growth Rate of Merchandise Exports,125,,2021,%,,NAU
Nepal,Growth Rate of Merchandise Exports,31,,2021,%,,NEP
Niue,Growth Rate of Merchandise Exports,–5.3,,2018,%,,NIU
Pakistan,Growth Rate of Merchandise Exports,13.7,,2021,%,,PAK
Palau,Growth Rate of Merchandise Exports,42.6,,2021,%,,PAL
Papua New Guinea,Growth Rate of Merchandise Exports,7.9,,2021,%,,PNG
Philippines,Growth Rate of Merchandise Exports,12.4,,2021,%,,PHI
Samoa,Growth Rate of Merchandise Exports,–23.1,,2021,%,,SAM
Singapore,Growth Rate of Merchandise Exports,20.6,,2021,%,,SIN
Solomon Islands,Growth Rate of Merchandise Exports,–5.7,,2021,%,,SOL
Sri Lanka,Growth Rate of Merchandise Exports,24.4,,2021,%,,SRI
"Taipei,China",Growth Rate of Merchandise Exports,34,,2021,%,,TAP
Tajikistan,Growth Rate of Merchandise Exports,52.8,,2021,%,,TAJ
Thailand,Growth Rate of Merchandise Exports,18.8,,2021,%,,THA
Timor-Leste,Growth Rate of Merchandise Exports,123.1,,2021,%,,TIM
Tonga,Growth Rate of Merchandise Exports,31.4,,2021,%,,TON
Turkmenistan,Growth Rate of Merchandise Exports,–4.7,,2019,%,,TKM
Tuvalu,Growth Rate of Merchandise Exports,14.2,,2021,%,,TUV
Uzbekistan,Growth Rate of Merchandise Exports,8.8,,2021,%,,UZB
Vanuatu,Growth Rate of Merchandise Exports,13.3,,2021,%,,VAN
Viet Nam,Growth Rate of Merchandise Exports,19,,2021,%,,VIE
Afghanistan,Growth Rate of Merchandise Imports,–4.6,,2020,%,,AFG
Armenia,Growth Rate of Merchandise Imports,6,,2021,%,,ARM
Azerbaijan,Growth Rate of Merchandise Imports,16.2,,2021,%,,AZE
Bangladesh,Growth Rate of Merchandise Imports,19.7,,2021,%,,BAN
Bhutan,Growth Rate of Merchandise Imports,18,,2021,%,,BHU
Brunei Darussalam,Growth Rate of Merchandise Imports,57.8,,2021,%,,BRU
Cambodia,Growth Rate of Merchandise Imports,45.9,,2021,%,,CAM
"China, People's Republic of",Growth Rate of Merchandise Imports,34.6,,2021,%,,PRC
Cook Islands,Growth Rate of Merchandise Imports,–5.3,,2020,%,,COO
Fiji,Growth Rate of Merchandise Imports,–6.4,,2021,%,,FIJ
Georgia,Growth Rate of Merchandise Imports,26.7,,2021,%,,GEO
"Hong Kong, China",Growth Rate of Merchandise Imports,22.9,,2021,%,,HKG
India,Growth Rate of Merchandise Imports,54.3,,2021,%,,IND
Indonesia,Growth Rate of Merchandise Imports,39.9,,2021,%,,INO
Kazakhstan,Growth Rate of Merchandise Imports,6.3,,2021,%,,KAZ
Kiribati,Growth Rate of Merchandise Imports,0.8,,2021,%,,KIR
"Korea, Republic of",Growth Rate of Merchandise Imports,31.2,,2021,%,,KOR
Kyrgyz Republic,Growth Rate of Merchandise Imports,49.8,,2021,%,,KGZ
Lao People's Democratic Republic,Growth Rate of Merchandise Imports,12.3,,2021,%,,LAO
Malaysia,Growth Rate of Merchandise Imports,28.2,,2021,%,,MAL
Maldives,Growth Rate of Merchandise Imports,42.2,,2021,%,,MLD
Marshall Islands,Growth Rate of Merchandise Imports,–37.2,,2020,%,,RMI
"Micronesia, Federated States of",Growth Rate of Merchandise Imports,2.9,,2021,%,,FSM
Mongolia,Growth Rate of Merchandise Imports,32.7,,2021,%,,MON
Myanmar,Growth Rate of Merchandise Imports,–23.0,,2021,%,,MYA
Nauru,Growth Rate of Merchandise Imports,24,,2021,%,,NAU
Nepal,Growth Rate of Merchandise Imports,26.5,,2021,%,,NEP
Niue,Growth Rate of Merchandise Imports,7.8,,2018,%,,NIU
Pakistan,Growth Rate of Merchandise Imports,23.3,,2021,%,,PAK
Palau,Growth Rate of Merchandise Imports,–18.3,,2021,%,,PAL
Papua New Guinea,Growth Rate of Merchandise Imports,–11.3,,2021,%,,PNG
Philippines,Growth Rate of Merchandise Imports,31.7,,2021,%,,PHI
Samoa,Growth Rate of Merchandise Imports,0.9,,2021,%,,SAM
Singapore,Growth Rate of Merchandise Imports,22.8,,2021,%,,SIN
Solomon Islands,Growth Rate of Merchandise Imports,4.1,,2021,%,,SOL
Sri Lanka,Growth Rate of Merchandise Imports,28.5,,2021,%,,SRI
"Taipei,China",Growth Rate of Merchandise Imports,37.9,,2021,%,,TAP
Tajikistan,Growth Rate of Merchandise Imports,33.6,,2021,%,,TAJ
Thailand,Growth Rate of Merchandise Imports,23.4,,2021,%,,THA
Timor-Leste,Growth Rate of Merchandise Imports,71.2,,2021,%,,TIM
Tonga,Growth Rate of Merchandise Imports,–3.2,,2021,%,,TON
Turkmenistan,Growth Rate of Merchandise Imports,9.6,,2019,%,,TKM
Tuvalu,Growth Rate of Merchandise Imports,–1.9,,2021,%,,TUV
Uzbekistan,Growth Rate of Merchandise Imports,20.7,,2021,%,,UZB
Vanuatu,Growth Rate of Merchandise Imports,10.8,,2021,%,,VAN
Viet Nam,Growth Rate of Merchandise Imports,26.5,,2021,%,,VIE
Afghanistan,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,AFG
Armenia,Growth Rates of Household Expenditure or Income per Capita,2.4,,(2013-2018),%,10.1.1,ARM
Azerbaijan,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,AZE
Bangladesh,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,BAN
Bhutan,Growth Rates of Household Expenditure or Income per Capita,1.7,,(2012-2017),%,10.1.1,BHU
Brunei Darussalam,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,BRU
Cambodia,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,CAM
"China, People's Republic of",Growth Rates of Household Expenditure or Income per Capita,6.3,,(2014-2019),%,10.1.1,PRC
Cook Islands,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,COO
Fiji,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,FIJ
Georgia,Growth Rates of Household Expenditure or Income per Capita,–1.5,,(2015-2020),%,10.1.1,GEO
"Hong Kong, China",Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,HKG
India,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,IND
Indonesia,Growth Rates of Household Expenditure or Income per Capita,3.8,,(2015-2019),%,10.1.1,INO
Kazakhstan,Growth Rates of Household Expenditure or Income per Capita,–0.2,,(2013-2018),%,10.1.1,KAZ
Kiribati,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,KIR
"Korea, Republic of",Growth Rates of Household Expenditure or Income per Capita,2.3,,(2012-2016),%,10.1.1,KOR
Kyrgyz Republic,Growth Rates of Household Expenditure or Income per Capita,1.1,,(2015-2020),%,10.1.1,KGZ
Lao People's Democratic Republic,Growth Rates of Household Expenditure or Income per Capita,3.1,,(2012-2018),%,10.1.1,LAO
Malaysia,Growth Rates of Household Expenditure or Income per Capita,5,,(2011-2015),%,10.1.1,MAL
Maldives,Growth Rates of Household Expenditure or Income per Capita,–1.1,,(2016-2019),%,10.1.1,MLD
Marshall Islands,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,RMI
"Micronesia, Federated States of",Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,FSM
Mongolia,Growth Rates of Household Expenditure or Income per Capita,–3.2,,(2014-2018),%,10.1.1,MON
Myanmar,Growth Rates of Household Expenditure or Income per Capita,1.3,,(2015-2017),%,10.1.1,MYA
Nauru,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,NAU
Nepal,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,NEP
Niue,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,NIU
Pakistan,Growth Rates of Household Expenditure or Income per Capita,1.3,,(2013-2018),%,10.1.1,PAK
Palau,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,PAL
Papua New Guinea,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,PNG
Philippines,Growth Rates of Household Expenditure or Income per Capita,3.4,,(2015-2018),%,10.1.1,PHI
Samoa,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,SAM
Singapore,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,SIN
Solomon Islands,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,SOL
Sri Lanka,Growth Rates of Household Expenditure or Income per Capita,4.1,,(2012-2016),%,10.1.1,SRI
"Taipei,China",Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,TAP
Tajikistan,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,TAJ
Thailand,Growth Rates of Household Expenditure or Income per Capita,1,,(2014-2019),%,10.1.1,THA
Timor-Leste,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,TIM
Tonga,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,TON
Turkmenistan,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,TKM
Tuvalu,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,TUV
Uzbekistan,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,UZB
Vanuatu,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,VAN
Viet Nam,Growth Rates of Household Expenditure or Income per Capita,6.5,,(2014-2018),%,10.1.1,VIE
Afghanistan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,,AFG
Armenia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,1.3,,(2013-2018),%,,ARM
Azerbaijan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,,AZE
Bangladesh,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,,BAN
Bhutan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,1.6,,(2012-2017),%,,BHU
Brunei Darussalam,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,,BRU
Cambodia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,,CAM
"China, People's Republic of",Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,7.2,,(2014-2019),%,,PRC
Cook Islands,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,,COO
Fiji,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,,FIJ
Georgia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,–0.6,,(2015-2020),%,,GEO
"Hong Kong, China",Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,,HKG
India,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,,IND
Indonesia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,4.6,,(2015-2019),%,,INO
Kazakhstan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,–0.3,,(2013-2018),%,,KAZ
Kiribati,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,,KIR
"Korea, Republic of",Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,2.5,,(2012-2016),%,,KOR
Kyrgyz Republic,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,0.8,,(2015-2020),%,,KGZ
Lao People's Democratic Republic,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,1.9,,(2012-2018),%,,LAO
Malaysia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,7,,(2011-2015),%,,MAL
Maldives,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,0.1,,(2016-2019),%,,MLD
Marshall Islands,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,,RMI
"Micronesia, Federated States of",Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,,FSM
Mongolia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,–3.7,,(2014-2018),%,,MON
Myanmar,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,9.5,,(2015-2017),%,,MYA
Nauru,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,,NAU
Nepal,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,,NEP
